job_title,seniority_level,status,location,industry,ownership,salary,skills,avg_salary,python_yn,machine learning_yn,sql_yn,r_yn,aws_yn,deep learning_yn
data scientist,senior,hybrid,"Grapevine, TX ",Retail,Public,100472 - 200938,"['spark', 'r', 'python', 'scala', 'machine learning', 'tensorflow']",150705.0,1,1,1,1,0,1
data scientist,lead,hybrid,"Fort Worth, TX ",Manufacturing,Public,118733,"['spark', 'r', 'python', 'sql', 'machine learning']",118733.0,1,1,1,1,0,1
data scientist,senior,on-site,"Austin, TX ",Technology,Public,94987 - 159559,"['aws', 'git', 'python', 'docker', 'sql', 'machine learning', 'gcp', 'kubernetes', 'deep learning']",127273.0,1,1,1,1,0,1
data scientist,senior,hybrid,"Chicago, IL ",Technology,Public,112797 - 194402,"['sql', 'r', 'python']",153599.5,1,1,1,1,0,1
data scientist,senior,remote,Fully Remote,Technology,Private,207331,[],207331.0,1,1,1,1,0,1
data scientist,senior,on-site,On-site,Technology,Public,219201,[],219201.0,1,1,1,1,0,1
data scientist,senior,remote,"Minneapolis, MN ",Manufacturing,Public,99464 - 165954,"['sql', 'machine learning', 'python']",132709.0,1,1,1,1,0,1
data scientist,senior,on-site,"Titusville, NJ ",Healthcare,Public,112343 - 117823,"['sql', 'machine learning', 'r', 'python']",115083.0,1,1,1,1,0,1
data scientist,senior,on-site,"Arlington, VA",Technology,Private,127867 - 150700,"['pandas', 'powerbi', 'python', 'java', 'sql', 'machine learning', 'tableau']",139283.5,1,1,1,1,0,1
data scientist,senior,remote,Fully Remote,Finance,Private,134266,[],134266.0,1,1,1,1,0,1
data scientist,lead,on-site,"Charlotte, NC ",Finance,Public,126956 - 198196,"['aws', 'r', 'python', 'sql', 'machine learning', 'azure', 'tableau']",162576.0,1,1,1,1,0,1
data scientist,senior,remote,Fully Remote,Education,Private,185412 - 228338,[],206875.0,1,1,1,1,0,1
data scientist,senior,on-site,"Toronto, Ontario, Canada ",Finance,Public,72611,"['pytorch', 'spark', 'git', 'r', 'python', 'sql', 'machine learning', 'tensorflow']",72611.0,1,1,1,1,0,1
data scientist,senior,on-site,"Findlay, OH ",Energy,Public,95265 - 164221,"['pytorch', 'scikit-learn', 'python', 'machine learning', 'deep learning', 'tensorflow']",129743.0,1,1,1,1,0,1
data scientist,senior,on-site,"Toronto, Ontario, Canada",Technology,Private,85044,"['airflow', 'spark', 'machine learning', 'python']",85044.0,1,1,1,1,0,1
data scientist,lead,on-site,"Richmond, VA ",Technology,Public,112288,"['machine learning', 'python']",112288.0,1,1,1,1,0,1
data scientist,lead,hybrid,"Seattle, WA ",Retail,Public,132437,"['r', 'python', 'sql', 'machine learning', 'tableau']",132437.0,1,1,1,1,0,1
data scientist,senior,hybrid,"Manchester, England, United Kingdom ",Technology,Public,45669 - 63936,"['spark', 'python', 'airflow', 'sql', 'machine learning']",54802.5,1,1,1,1,0,1
data scientist,senior,on-site,"Richmond, VA ",Technology,Public,112291,"['machine learning', 'python']",112291.0,1,1,1,1,0,1
data scientist,senior,on-site,"Toronto, Ontario, Canada",Technology,Private,83298 - 124946,"['pandas', 'numpy', 'scikit-learn', 'python', 'sql', 'azure', 'tableau']",104122.0,1,1,1,1,0,1
data scientist,senior,hybrid,"Foster City, CA ",Technology,Private,198201 - 269440,[],233820.5,1,1,1,1,0,1
data scientist,senior,hybrid,"San Francisco, CA, US ",Technology,Public,260211,[],260211.0,1,1,1,1,0,1
data scientist,midlevel,on-site,"Cambridge, MA",Technology,Public,144311 - 198198,"['r', 'python', 'sql', 'machine learning', 'tableau']",171254.5,1,1,1,1,0,1
data scientist,senior,remote,United States ,Technology,Private,155272 - 164406,"['sql', 'machine learning', 'tableau', 'python']",159839.0,1,1,1,1,0,1
data scientist,senior,on-site,"San Diego, CA",Technology,Public,140661,"['pytorch', 'python', 'docker', 'sql', 'neural network', 'kubernetes', 'tensorflow']",140661.0,1,1,1,1,0,1
data scientist,senior,hybrid,"Toronto, Ontario, Canada ",Finance,Public,73739,"['machine learning', 'r', 'python']",73739.0,1,1,1,1,0,1
data scientist,senior,hybrid,"New York, NY ",Technology,Public,135178 - 168971,[],152074.5,1,1,1,1,0,1
data scientist,senior,on-site,On-site,Technology,Private,228515,[],228515.0,1,1,1,1,0,1
data scientist,senior,hybrid,"McLean, VA ",Technology,Public,92833 - 172402,"['java', 'machine learning', 'r', 'python']",132617.5,1,1,1,1,0,1
data scientist,lead,on-site,"Seattle, Washington, United States ",Technology,Private,210070 - 228336,[],219203.0,1,1,1,1,0,1
data scientist,senior,on-site,On-site,Technology,Private,123307 - 191806,[],157556.5,1,1,1,1,0,1
data scientist,senior,on-site,"San Francisco, California, United States ",Finance,Private,219199 - 273999,[],246599.0,1,1,1,1,0,1
